Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;WiFi;2021-08-19 05:43:43.566;2021-08-19 05:43:45.606;1604;105;2040
WEB;WiFi;2021-08-19 05:44:24.542;2021-08-19 05:44:26.755;508;68;2213
WEB;WiFi;2021-08-19 05:45:05.495;2021-08-19 05:45:07.413;516;92;1918
WEB;WiFi;2021-08-19 05:45:46.985;2021-08-19 05:45:49.213;1661;59;2228
WEB;WiFi;2021-08-19 05:46:29.075;2021-08-19 05:46:30.935;1842;87;1860
WEB;WiFi;2021-08-19 05:47:10.452;2021-08-19 05:47:12.723;1767;92;2271
WEB;WiFi;2021-08-19 05:47:52.441;2021-08-19 05:47:54.422;2055;80;1981
WEB;WiFi;2021-08-19 05:48:35.605;2021-08-19 05:48:37.638;1932;91;2033
WEB;WiFi;2021-08-19 05:49:18.030;2021-08-19 05:49:20.198;1896;118;2168
WEB;WiFi;2021-08-19 05:49:58.654;2021-08-19 05:50:00.914;632;151;2260
WEB;WiFi;2021-08-19 05:50:39.754;2021-08-19 05:50:41.724;2085;70;1970
WEB;WiFi;2021-08-19 05:51:19.701;2021-08-19 05:51:21.735;574;77;2033
WEB;WiFi;2021-08-19 05:52:00.848;2021-08-19 05:52:03.260;1900;140;2412
WEB;WiFi;2021-08-19 05:52:41.340;2021-08-19 05:52:43.893;586;84;2553
WEB;WiFi;2021-08-19 05:53:22.398;2021-08-19 05:53:24.783;1646;83;2385
WEB;WiFi;2021-08-19 05:54:02.288;2021-08-19 05:54:04.816;598;96;2528
WEB;WiFi;2021-08-19 05:54:43.402;2021-08-19 05:54:45.939;1878;108;2537
WEB;WiFi;2021-08-19 05:55:23.247;2021-08-19 05:55:25.764;524;101;2517
WEB;WiFi;2021-08-19 05:56:04.365;2021-08-19 05:56:06.718;2044;94;2353
WEB;WiFi;2021-08-19 05:56:44.118;2021-08-19 05:56:46.717;603;121;2599
WEB;WiFi;2021-08-19 05:57:24.368;2021-08-19 05:57:26.757;1559;95;2389
WEB;WiFi;2021-08-19 05:58:04.389;2021-08-19 05:58:07.163;601;89;2774
WEB;WiFi;2021-08-19 05:58:50.205;2021-08-19 05:58:52.274;1455;62;2069
WEB;WiFi;2021-08-19 05:59:31.913;2021-08-19 05:59:34.139;2100;79;2226
WEB;WiFi;2021-08-19 06:00:12.904;2021-08-19 06:00:14.837;1763;109;1933
WEB;WiFi;2021-08-19 06:00:53.661;2021-08-19 06:00:55.783;1554;77;2122
WEB;WiFi;2021-08-19 06:01:35.359;2021-08-19 06:01:37.370;1776;113;2011
WEB;WiFi;2021-08-19 06:02:19.703;2021-08-19 06:02:20.872;4683;74;1169
WEB;WiFi;2021-08-19 06:02:59.130;2021-08-19 06:03:01.516;637;60;2386
WEB;WiFi;2021-08-19 06:03:41.055;2021-08-19 06:03:43.014;2069;124;1959
WEB;WiFi;2021-08-19 06:04:25.009;2021-08-19 06:04:27.113;2671;82;2104
WEB;WiFi;2021-08-19 06:05:06.510;2021-08-19 06:05:09.260;578;89;2750
WEB;WiFi;2021-08-19 06:05:47.374;2021-08-19 06:05:49.438;671;77;2064
WEB;WiFi;2021-08-19 06:06:28.287;2021-08-19 06:06:30.293;1831;75;2005
WEB;WiFi;2021-08-19 06:07:07.993;2021-08-19 06:07:10.078;497;76;2085
WEB;WiFi;2021-08-19 06:07:48.254;2021-08-19 06:07:50.781;516;89;2527
WEB;WiFi;2021-08-19 06:08:30.293;2021-08-19 06:08:32.354;1725;120;2061
WEB;WiFi;2021-08-19 06:09:10.948;2021-08-19 06:09:13.108;1401;69;2160
WEB;WiFi;2021-08-19 06:09:55.778;2021-08-19 06:09:57.728;1847;64;1950
WEB;WiFi;2021-08-19 06:10:35.476;2021-08-19 06:10:37.437;587;89;1961
WEB;WiFi;2021-08-19 06:11:15.000;2021-08-19 06:11:17.001;575;103;2001
WEB;WiFi;2021-08-19 06:11:54.964;2021-08-19 06:11:57.115;611;68;2151
WEB;WiFi;2021-08-19 06:12:36.044;2021-08-19 06:12:38.206;490;78;2162
